#From https://iopscience.iop.org/article/10.1088/1538-3873/ad2865/pdf (Page17)
# Wavelength [A], QE
3500	0.10
4000	0.40
4500	0.82
5000	0.85
5500	0.88
6000	0.91
6500	0.92
7000	0.93
7500	0.93
8000	0.92
8500	0.91
9000	0.90
9500	0.87
9800	0.83
10000	0.78
10500	0.60
11000	0.35
